day,users_count,questions_count,answers_count,comments_count,reactions_count,follows_count,blocks_count,mutes_count,reports_count,themes_count,user_bans_count,inbox_count
2018-03-26,0,2,33,14,37,0,0,0,0,0,0,26
2018-03-27,0,9,26,8,22,0,0,0,0,0,0,151
2018-03-28,0,5,38,14,55,0,0,0,0,0,0,63
2018-03-29,0,15,31,14,21,1,0,0,0,0,0,106
2018-03-30,0,10,38,12,52,2,0,0,0,0,0,81
2018-03-31,1,12,31,21,46,0,0,0,0,0,0,81
2018-04-01,1,20,149,88,146,1,0,0,0,0,0,86
2018-04-02,0,13,31,21,30,2,0,0,0,0,0,121
2018-04-03,0,7,49,7,51,0,0,0,0,0,0,68
2018-04-04,1,27,43,31,66,0,0,0,0,0,0,138
2018-04-05,0,20,32,25,40,0,0,0,0,0,0,147
2018-04-06,0,6,21,8,26,2,0,0,0,0,0,46
2018-04-07,1,15,52,20,28,0,0,0,0,0,0,57
2018-04-08,11,65,151,57,209,60,0,0,0,2,0,160
2018-04-09,1,35,83,33,64,19,0,0,0,1,0,53
2018-04-10,56,125,217,78,164,58,0,0,3,11,0,165
2018-04-11,60,262,274,25,107,62,0,0,0,8,0,201
2018-04-12,17,137,164,39,136,23,0,0,2,5,0,111
2018-04-13,7,88,90,65,62,29,0,0,0,4,2,150
2018-04-14,7,115,125,136,154,6,0,0,0,3,0,281
2018-04-15,3,107,120,19,71,19,0,0,0,1,1,186
2018-04-16,4,51,122,38,156,8,0,0,0,5,0,104
2018-04-17,9,125,118,13,59,9,0,0,0,2,0,201
2018-04-18,8,107,84,23,62,14,0,0,6,3,0,150
2018-04-19,3,82,62,24,69,3,0,0,0,0,0,125
2018-04-20,4,46,61,11,45,3,0,0,0,0,0,56
2018-04-21,3,39,58,12,41,3,0,0,0,0,0,155
2018-04-22,5,41,59,26,78,3,0,0,0,0,0,228
2018-04-23,6,117,75,12,52,8,0,0,0,2,0,131
2018-04-24,5,95,137,41,139,9,0,0,0,2,0,255
2018-04-25,11,112,102,9,65,16,0,0,0,2,0,117
2018-04-26,8,181,133,20,61,4,0,0,0,2,0,102
2018-04-27,9,106,104,18,93,8,0,0,0,4,0,81
2018-04-28,5,77,119,20,88,8,0,0,0,0,0,131
2018-04-29,6,74,109,16,84,5,0,0,0,2,0,141
